almacen,estante,columna,nivel,categoria_ubicacion
COL,BBB,079,300,TTP
COL,BBB,079,400,TTP
COL,BBB,079,500,TTP
COL,BBB,079,600,TTP
COL,BBB,080,100,TTP
COL,BBB,080,200,TTP
COL,BBB,080,300,TTP
COL,BBB,080,400,TTP
COL,BBB,080,500,TTP
COL,BBB,080,600,TTP
COL,BBB,081,100,TTP
COL,BBB,081,200,001
COL,BBB,081,300,TTP
COL,BBB,081,400,TTP
COL,BBB,081,500,TTP
COL,BBB,081,600,TTP
COL,BBB,082,100,TTP
COL,BBB,082,200,TTP
COL,BBB,082,300,TB
COL,BBB,082,400,TTP
COL,BBB,082,500,TTP
COL,BBB,082,600,TTP
COL,BBB,083,100,
COL,BBB,083,200,
COL,BBB,083,300,DEO
COL,BBB,083,400,TTP
COL,BBB,083,500,TTP
COL,BBB,083,600,TTP
COL,BBB,084,100,TTP
COL,BBB,084,200,TB
COL,BBB,084,300,TTP
COL,BBB,084,400,TTP
COL,BBB,084,500,TTP
COL,BBB,084,600,
COL,BBB,085,100,TTP
COL,BBB,085,200,TTP
COL,BBB,085,300,MWA
COL,BBB,085,400,TTP
COL,BBB,085,500,TTP
COL,BBB,085,600,TTP
COL,BBB,086,100,TTP
COL,BBB,086,200,TTP
COL,BBB,086,300,TTP
COL,BBB,086,400,TTP
COL,BBB,086,500,001
COL,BBB,086,600,
COL,BLO,QA0,100,
COL,BN,PUL,100,
COL,BUN,0BN,100,
COL,BUN,0DR,100,
COL,BUN,CMS,100,
COL,BUN,MOV,100,
COL,CAM,001,100,
COL,CAM,002,100,
COL,CAM,003,100,
COL,CAM,004,100,
COL,CCC,001,100,BSO
COL,CCC,001,200,TTP
COL,CCC,001,300,DEO
COL,CCC,001,400,TTP
COL,CCC,001,500,TTP
COL,CCC,002,100,DEO
COL,CCC,002,200,TTP
COL,CCC,002,300,TTP
COL,CCC,002,400,MWA
COL,CCC,002,500,TB
COL,CCC,003,100,TTP
COL,CCC,003,200,TB
COL,CCC,003,300,TTP
COL,CCC,003,400,TTP
COL,CCC,003,500,TTP
COL,CCC,004,100,DEO
COL,CCC,004,200,TTP
COL,CCC,004,300,TTP
COL,CCC,004,400,TTP
COL,CCC,004,500,TTP
COL,CCC,005,100,TTP
COL,CCC,005,200,TTP
COL,CCC,005,300,TTP
COL,CCC,005,400,TTP
COL,CCC,005,500,TB
COL,CCC,006,100,TTP
COL,CCC,006,200,TTP
COL,CCC,006,300,TTP
COL,CCC,006,400,TTP
COL,CCC,006,500,TTP
COL,CCC,007,100,TTP
COL,CCC,007,200,TTP
COL,CCC,007,300,TTP
COL,CCC,007,400,TTP
COL,CCC,007,500,TTP
COL,CCC,008,100,TTP
COL,CCC,008,200,TTP
COL,CCC,008,300,TTP
COL,CCC,008,400,TTP
COL,CCC,008,500,001
COL,CCC,009,100,TTP
COL,CCC,009,200,BSO
COL,CCC,009,300,TTP
COL,CCC,009,400,TTP
COL,CCC,009,500,BWA
COL,CCC,010,100,TTP
COL,CCC,010,200,TTP
COL,CCC,010,300,TTP
COL,CCC,010,400,TTP
COL,CCC,010,500,TTP
COL,CCC,011,100,BWA
COL,CCC,011,200,TTP
COL,CCC,011,300,TTP
COL,CCC,011,400,TTP
COL,CCC,011,500,001
COL,CCC,012,100,BSO
COL,CCC,012,200,TTP
COL,CCC,012,300,TTP
COL,CCC,012,400,TTP
COL,CCC,012,500,TTP
COL,CCC,013,100,DEO
COL,CCC,013,200,TTP
COL,CCC,013,300,TTP
COL,CCC,013,400,001
COL,CCC,013,500,TTP
COL,CCC,014,100,TTP
COL,CCC,014,200,TTP
COL,CCC,014,300,TTP
COL,CCC,014,400,DEO
COL,CCC,014,500,TTP
COL,CCC,015,100,TTP
COL,CCC,015,200,TTP
COL,CCC,015,300,MWA
COL,CCC,015,400,001
COL,CCC,015,500,TTP
COL,CCC,016,100,DEO
COL,CCC,016,200,TTP
COL,CCC,016,300,TTP
COL,CCC,016,400,DEO
COL,CCC,016,500,TB
COL,CCC,017,100,TTP
COL,CCC,017,200,TTP
COL,CCC,017,300,TB
COL,CCC,017,400,TTP
COL,CCC,017,500,TTP
COL,CCC,018,100,TTP
COL,CCC,018,200,TTP
COL,CCC,018,300,MWA
COL,CCC,018,400,DEO
COL,CCC,018,500,TTP
COL,CCC,019,100,TTP
COL,CCC,019,200,TTP
COL,CCC,019,300,TTP
COL,CCC,019,400,TB
COL,CCC,019,500,MWA
COL,CCC,020,100,TTP
COL,CCC,020,200,001
COL,CCC,020,300,TTP
COL,CCC,020,400,DEO
COL,CCC,020,500,TTP
COL,CCC,021,100,BSO
COL,CCC,021,200,TTP
COL,CCC,021,300,TTP
COL,CCC,021,400,TTP
COL,CCC,021,500,TTP
COL,CCC,021,600,TTP
COL,CCC,022,100,001
COL,CCC,022,200,TTP
COL,CCC,022,300,TTP
COL,CCC,022,400,DEO
COL,CCC,022,500,TTP
COL,CCC,022,600,TTP
COL,CCC,023,100,TTP
COL,CCC,023,200,TTP
COL,CCC,023,300,BSO
COL,CCC,023,400,TTP
COL,CCC,023,500,MWA
COL,CCC,023,600,TB
COL,CCC,024,100,INT
COL,CCC,024,200,TTP
COL,CCC,024,300,TTP
COL,CCC,024,400,TTP
COL,CCC,024,500,TTP
COL,CCC,024,600,TTP
COL,CCC,025,100,
COL,CCC,025,200,TTP
COL,CCC,025,300,TTP
COL,CCC,025,400,TTP
COL,CCC,025,500,TTP
COL,CCC,025,600,TTP
COL,CCC,026,100,DEO
COL,CCC,026,200,TTP
COL,CCC,026,300,TTP
COL,CCC,026,400,TTP
COL,CCC,026,500,TTP
COL,CCC,026,600,TTP
COL,CCC,027,100,TTP
COL,CCC,027,200,TB
COL,CCC,027,300,DEO
COL,CCC,027,400,TTP
COL,CCC,027,500,TTP
COL,CCC,027,600,001
COL,CCC,028,100,BSO
COL,CCC,028,200,TTP
COL,CCC,028,300,TTP
COL,CCC,028,400,DEO
COL,CCC,028,500,TTP
COL,CCC,028,600,TTP
COL,CCC,029,100,TTP
COL,CCC,029,200,TTP
COL,CCC,029,300,TTP
COL,CCC,029,400,TB
COL,CCC,029,500,TTP
COL,CCC,029,600,TTP
COL,CCC,030,100,DEO
COL,CCC,030,200,DEO
COL,CCC,030,300,MWA
COL,CCC,030,400,TTP
COL,CCC,030,500,TTP
COL,CCC,030,600,TB
COL,CCC,031,100,DEO
COL,CCC,031,200,TTP
COL,CCC,031,300,MWA
COL,CCC,031,400,TB
COL,CCC,031,500,TTP
COL,CCC,031,600,MWA
COL,CCC,032,100,TTP
COL,CCC,032,200,TTP
COL,CCC,032,300,DEO
COL,CCC,032,400,TB
COL,CCC,032,500,
COL,CCC,032,600,TB
COL,CCC,033,100,DEO
COL,CCC,033,200,TTP
COL,CCC,033,300,TTP
COL,CCC,033,400,TTP
COL,CCC,033,500,001
COL,CCC,033,600,TB
COL,CCC,034,100,TTP
COL,CCC,034,200,TTP
COL,CCC,034,300,TB
COL,CCC,034,400,TTP
COL,CCC,034,500,TTP
COL,CCC,034,600,TB
COL,CCC,035,100,TTP
COL,CCC,035,200,TTP
COL,CCC,035,300,TTP
COL,CCC,035,400,
COL,CCC,035,500,DEO
COL,CCC,035,600,001
COL,CCC,036,100,TTP
COL,CCC,036,200,TTP
COL,CCC,036,300,TTP
COL,CCC,036,400,TTP
COL,CCC,036,500,DEO
COL,CCC,036,600,TTP
COL,CCC,037,400,TTP
COL,CCC,037,500,
COL,CCC,037,600,DEO
COL,CCC,038,400,TTP
COL,CCC,038,500,TTP
COL,CCC,038,600,BSO
COL,CCC,039,400,DEO
COL,CCC,039,500,TTP
COL,CCC,039,600,TTP
COL,CCC,040,400,TTP
COL,CCC,040,500,001
COL,CCC,040,600,TB
COL,CCC,041,400,
COL,CCC,041,500,TTP
COL,CCC,041,600,TTP
COL,CCC,042,400,TTP
COL,CCC,042,500,TTP
COL,CCC,042,600,MWA
COL,CCC,043,100,TTP
COL,CCC,043,200,TTP
COL,CCC,043,300,TTP
COL,CCC,043,400,TTP
COL,CCC,043,500,MWA
COL,CCC,043,600,MWA
COL,CCC,044,100,TB
COL,CCC,044,200,TTP
COL,CCC,044,300,TTP
COL,CCC,044,400,TTP
COL,CCC,044,500,TTP
COL,CCC,044,600,TTP
COL,CCC,045,100,TTP
COL,CCC,045,200,TTP
COL,CCC,045,300,TTP
COL,CCC,045,400,DEO
COL,CCC,045,500,DEO
COL,CCC,045,600,TB
COL,CCC,046,100,TTP
COL,CCC,046,200,TTP
COL,CCC,046,300,TTP
COL,CCC,046,400,001
COL,CCC,046,500,TTP
COL,CCC,046,600,TTP
COL,CCC,047,100,TTP
COL,CCC,047,200,TTP
COL,CCC,047,300,
COL,CCC,047,400,TTP
COL,CCC,047,500,TTP
COL,CCC,047,600,
COL,CCC,048,100,TTP
COL,CCC,048,200,TTP
COL,CCC,048,300,BSO
COL,CCC,048,400,TTP
COL,CCC,048,500,TTP
COL,CCC,048,600,TTP
COL,CCC,049,100,TTP
COL,CCC,049,200,TTP
COL,CCC,049,300,TB
COL,CCC,049,400,TTP
COL,CCC,049,500,TTP
COL,CCC,049,600,TTP
COL,CCC,050,100,DEO
COL,CCC,050,200,DEO
COL,CCC,050,300,TTP
COL,CCC,050,400,DEO
COL,CCC,050,500,TTP
COL,CCC,050,600,TTP
COL,CCC,051,100,TTP
COL,CCC,051,200,TB
COL,CCC,051,300,TTP
COL,CCC,051,400,DEO
COL,CCC,051,500,TTP
COL,CCC,051,600,TTP
COL,CCC,052,100,
COL,CCC,052,200,TB
COL,CCC,052,300,TTP
COL,CCC,052,400,TTP
COL,CCC,052,500,
COL,CCC,052,600,DEO
COL,CCC,053,100,TB
COL,CCC,053,200,TTP
COL,CCC,053,300,TTP
COL,CCC,053,400,TTP
COL,CCC,053,500,001
COL,CCC,053,600,TTP
COL,CCC,054,100,TTP
COL,CCC,054,200,TB
COL,CCC,054,300,TTP
COL,CCC,054,400,TTP
COL,CCC,054,500,TTP
COL,CCC,054,600,TB
COL,CCC,055,100,001
COL,CCC,055,200,DEO
COL,CCC,055,300,TB
COL,CCC,055,400,TTP
COL,CCC,055,500,TTP
COL,CCC,055,600,
COL,CCC,056,100,TTP
COL,CCC,056,200,TTP
COL,CCC,056,300,BSO
COL,CCC,056,400,TTP
COL,CCC,056,500,TTP
COL,CCC,056,600,
COL,CCC,057,100,TTP
COL,CCC,057,200,DEO
COL,CCC,057,300,TB
COL,CCC,057,400,MWA
COL,CCC,057,500,TTP
COL,CCC,057,600,TTP
COL,CCC,058,100,TTP
COL,CCC,058,200,DEO
COL,CCC,058,300,TTP
COL,CCC,058,400,TB
COL,CCC,058,500,TTP
COL,CCC,058,600,TTP
COL,CCC,059,100,TB
COL,CCC,059,200,TTP
COL,CCC,059,300,TTP
COL,CCC,059,400,TB
COL,CCC,059,500,TTP
COL,CCC,059,600,TB
COL,CCC,060,100,TTP
COL,CCC,060,200,DEO
COL,CCC,060,300,
COL,CCC,060,400,TTP
COL,CCC,060,500,TTP
COL,CCC,060,600,001
COL,CCC,061,100,TTP
COL,CCC,061,200,TTP
COL,CCC,061,300,TTP
COL,CCC,061,400,TTP
COL,CCC,061,500,TTP
COL,CCC,061,600,TTP
COL,CCC,062,100,TTP
COL,CCC,062,200,TTP
COL,CCC,062,300,TB
COL,CCC,062,400,TTP
COL,CCC,062,500,TTP
COL,CCC,062,600,TTP
COL,CCC,063,100,TB
COL,CCC,063,200,TTP
COL,CCC,063,300,TTP
COL,CCC,063,400,TTP
COL,CCC,063,500,TTP
COL,CCC,063,600,TTP
COL,CCC,064,100,TTP
COL,CCC,064,200,TTP
COL,CCC,064,300,DEO
COL,CCC,064,400,TB
COL,CCC,064,500,TB
COL,CCC,064,600,TB
COL,CCC,065,100,TB
COL,CCC,065,200,DEO
COL,CCC,065,300,TB
COL,CCC,065,400,INT
COL,CCC,065,500,TTP
COL,CCC,065,600,TTP
COL,CCC,066,100,
COL,CCC,066,200,TTP
COL,CCC,066,300,TB
COL,CCC,066,400,TB
COL,CCC,066,500,TTP
COL,CCC,066,600,TTP
COL,CCC,067,100,TTP
COL,CCC,067,200,TTP
COL,CCC,067,300,TB
COL,CCC,067,400,TTP
COL,CCC,067,500,TB
COL,CCC,067,600,TTP
COL,CCC,068,100,DEO
COL,CCC,068,200,TB
COL,CCC,068,300,DEO
COL,CCC,068,400,TTP
COL,CCC,068,500,TB
COL,CCC,068,600,BSO
COL,CCC,069,100,TTP
COL,CCC,069,200,DEO
COL,CCC,069,300,TTP
COL,CCC,069,400,TTP
COL,CCC,069,500,BSO
COL,CCC,069,600,TB
COL,CCC,070,100,TB
COL,CCC,070,200,TB
COL,CCC,070,300,TTP
COL,CCC,070,400,TTP
COL,CCC,070,500,TB
COL,CCC,070,600,TTP
COL,CCC,071,100,DEO
COL,CCC,071,200,TB
COL,CCC,071,300,BSO
COL,CCC,071,400,TB
COL,CCC,071,500,TTP
COL,CCC,071,600,
COL,CCC,072,100,001
COL,CCC,072,200,TTP
COL,CCC,072,300,TTP
COL,CCC,072,400,TTP
COL,CCC,072,500,TB
COL,CCC,072,600,TB
COL,CCC,073,100,TTP
COL,CCC,073,200,DEO
COL,CCC,073,300,TTP
COL,CCC,073,400,TTP
COL,CCC,073,500,TTP
COL,CCC,073,600,TB
COL,CCC,074,100,TTP
COL,CCC,074,200,DEO
COL,CCC,074,300,TTP
COL,CCC,074,400,TTP
COL,CCC,074,500,
COL,CCC,074,600,TTP
COL,CCC,075,100,TTP
COL,CCC,075,200,TTP
COL,CCC,075,300,TTP
COL,CCC,075,400,TTP
COL,CCC,075,500,TTP
COL,CCC,075,600,TTP
COL,CCC,076,100,TTP
COL,CCC,076,200,TTP
COL,CCC,076,300,TTP
COL,CCC,076,400,TTP
COL,CCC,076,500,TTP
COL,CCC,076,600,TTP
COL,CCC,077,100,TTP
COL,CCC,077,200,TTP
COL,CCC,077,300,TTP
COL,CCC,077,400,TTP
COL,CCC,077,500,TTP
COL,CCC,077,600,TTP
COL,CCC,078,100,TTP
COL,CCC,078,200,TB
COL,CCC,078,300,DEO
COL,CCC,078,400,BWA
COL,CCC,078,500,TTP
COL,CCC,078,600,001
COL,CCC,079,100,TTP
COL,CCC,079,200,TTP
COL,CCC,079,300,TTP
COL,CCC,079,400,TTP
COL,CCC,079,500,TTP
COL,CCC,079,600,TTP
COL,CCC,080,100,TTP
COL,CCC,080,200,TTP
COL,CCC,080,300,TTP
COL,CCC,080,400,TTP
COL,CCC,080,500,TTP
COL,CCC,080,600,TTP
COL,CCC,081,100,TTP
COL,CCC,081,200,TTP
COL,CCC,081,300,TTP
COL,CCC,081,400,TTP
COL,CCC,081,500,TTP
COL,CCC,081,600,TTP
COL,CCC,082,100,TTP
COL,CCC,082,200,TTP
COL,CCC,082,300,BSO
COL,CCC,082,400,TTP
COL,CCC,082,500,TTP
COL,CCC,082,600,TTP
COL,CCC,083,100,TTP
COL,CCC,083,200,TTP
COL,CCC,083,300,TTP
COL,CCC,083,400,DEO
COL,CCC,083,500,TTP
COL,CCC,083,600,TTP
COL,CCC,084,100,TTP
COL,CCC,084,200,TTP
COL,CCC,084,300,TTP
COL,CCC,084,400,TTP
COL,CCC,084,500,TTP
COL,CCC,084,600,DEO
COL,CCC,085,100,BSO
COL,CCC,085,200,TTP
COL,CCC,085,300,TTP
COL,CCC,085,400,TTP
COL,CCC,085,500,TTP
COL,CCC,085,600,TTP
COL,CCC,086,100,TTP
COL,CCC,086,200,TTP
COL,CCC,086,300,TTP
COL,CCC,086,400,TTP
COL,CCC,086,500,TTP
COL,CCC,086,600,TTP
COL,CNT,TEM,100,GLW
COL,CON,001,100,TB
COL,CON,001,200,
COL,DDD,001,100,TTP
COL,DDD,001,200,TB
COL,DDD,001,300,TTP
COL,DDD,001,400,
COL,DDD,001,500,TTP
COL,DDD,001,600,TTP
COL,DDD,002,100,TTP
COL,DDD,002,200,TTP
COL,DDD,002,300,TTP
COL,DDD,002,400,TTP
COL,DDD,002,500,TTP
COL,DDD,002,600,MWA
COL,DDD,003,100,TTP
COL,DDD,003,200,DEO
COL,DDD,003,300,DEO
COL,DDD,003,400,TB
COL,DDD,003,500,MWA
COL,DDD,003,600,TTP
COL,DDD,004,100,TB
COL,DDD,004,200,
COL,DDD,004,300,TB
COL,DDD,004,400,DEO
COL,DDD,004,500,TB
COL,DDD,004,600,TB
COL,DDD,005,100,TTP
COL,DDD,005,200,MWA
COL,DDD,005,300,MWA
COL,DDD,005,400,TTP
COL,DDD,005,500,TB
COL,DDD,005,600,MWA
COL,DDD,006,100,DEO
COL,DDD,006,200,TTP
COL,DDD,006,300,TB
COL,DDD,006,400,DEO
COL,DDD,006,500,TTP
COL,DDD,006,600,TB
COL,DDD,007,100,TTP
COL,DDD,007,200,TTP
COL,DDD,007,300,DEO
COL,DDD,007,400,TB
COL,DDD,007,500,DEO
COL,DDD,007,600,BWA
COL,DDD,008,100,TTP
COL,DDD,008,200,MWA
COL,DDD,008,300,TTP
COL,DDD,008,400,TB
COL,DDD,008,500,DEO
COL,DDD,008,600,TB
COL,DDD,009,100,
COL,DDD,009,200,TTP
COL,DDD,009,300,DEO
COL,DDD,009,400,TTP
COL,DDD,009,500,TTP
COL,DDD,009,600,TTP
COL,DDD,010,100,TTP
COL,DDD,010,200,TTP
COL,DDD,010,300,TTP
COL,DDD,010,400,TTP
COL,DDD,010,500,TB
COL,DDD,010,600,001
COL,DDD,011,100,
COL,DDD,011,200,TTP
COL,DDD,011,300,TTP
COL,DDD,011,400,TB
COL,DDD,011,500,TTP
COL,DDD,011,600,DEO
COL,DDD,012,100,TTP
COL,DDD,012,200,TTP
COL,DDD,012,300,
COL,DDD,012,400,TTP
COL,DDD,012,500,TTP
COL,DDD,012,600,TTP
COL,DDD,013,100,
COL,DDD,013,200,DEO
COL,DDD,013,300,TTP
COL,DDD,013,400,TB
COL,DDD,013,500,TTP
COL,DDD,013,600,
COL,DDD,014,100,MWA
COL,DDD,014,200,BWA
COL,DDD,014,300,MWA
COL,DDD,014,400,TTP
COL,DDD,014,500,TB
COL,DDD,014,600,MWA
COL,DDD,015,100,TTP
COL,DDD,015,200,TTP
COL,DDD,015,300,DEO
COL,DDD,015,400,MWA
COL,DDD,015,500,TTP
COL,DDD,015,600,TTP
COL,DDD,016,100,TB
COL,DDD,016,200,BSO
COL,DDD,016,300,DEO
COL,DDD,016,400,TTP
COL,DDD,016,500,TTP
COL,DDD,016,600,TTP
COL,DDD,017,100,TB
COL,DDD,017,200,TTP
COL,DDD,017,300,DEO
COL,DDD,017,400,TTP
COL,DDD,017,500,TTP
COL,DDD,018,100,MWA
COL,DDD,018,200,TB
COL,DDD,018,300,TTP
COL,DDD,018,400,MWA
COL,DDD,018,500,BSO
COL,DDD,019,100,TTP
COL,DDD,019,200,TTP
COL,DDD,019,300,TTP
COL,DDD,019,400,TTP
COL,DDD,019,500,DEO
COL,DDD,020,100,TB
COL,DDD,020,200,MWA
COL,DDD,020,300,TB
COL,DDD,020,400,TB
COL,DDD,020,500,DEO
COL,DDD,021,100,TB
COL,DDD,021,200,DEO
COL,DDD,021,300,MWA
COL,DDD,021,400,BSO
COL,DDD,021,500,TB
COL,DDD,022,100,
COL,DDD,022,200,
COL,DDD,022,300,DEO
COL,DDD,022,400,TTP
COL,DDD,022,500,DEO
COL,DDD,023,100,MWA
COL,DDD,023,200,TTP
COL,DDD,023,300,TTP
COL,DDD,023,400,TB
COL,DDD,023,500,
COL,DDD,024,100,DEO
COL,DDD,024,200,TTP
COL,DDD,024,300,TTP
COL,DDD,024,400,TB
COL,DDD,024,500,DEO
COL,DDD,025,100,TB
COL,DDD,025,200,MWA
COL,DDD,025,300,MWA
COL,DDD,025,400,MWA
COL,DDD,025,500,
COL,DDD,027,100,MWA
COL,DDD,027,200,DEO
COL,DDD,027,300,TB
COL,DDD,027,400,MWA
COL,DDD,027,500,TB
COL,DDD,029,100,MWA
COL,DDD,029,200,TB
COL,DDD,029,300,TTP
COL,DDD,029,400,TB
COL,DDD,029,500,
COL,DDD,030,100,TTP
COL,DDD,030,200,TB
COL,DDD,030,300,TTP
COL,DDD,030,400,TTP
COL,DDD,030,500,DEO
COL,DDD,031,100,
COL,DDD,031,200,MWA
COL,DDD,031,300,TB
COL,DDD,031,400,TTP
COL,DDD,031,500,
COL,DDD,032,100,TTP
COL,DDD,032,200,TTP
COL,DDD,032,300,001
COL,DDD,032,400,TTP
COL,DDD,032,500,TB
COL,DDD,033,100,MWA
COL,DDD,033,200,TTP
COL,DDD,033,300,MWA
COL,DDD,033,400,TTP
COL,DDD,033,500,
COL,DDD,034,100,
COL,DDD,034,200,TTP
COL,DDD,034,300,DEO
COL,DDD,034,400,TTP
COL,DDD,034,500,TTP
COL,DDD,035,100,
COL,DDD,035,200,001
COL,DDD,035,300,
COL,DDD,035,400,MWA
COL,DDD,035,500,DEO
COL,DDD,036,100,001
COL,DDD,036,200,TTP
COL,DDD,036,300,DEO
COL,DDD,036,400,MWA
COL,DDD,036,500,TTP
COL,DDD,037,400,TB
COL,DDD,037,500,TTP
COL,DDD,037,600,TTP
COL,DDD,039,400,TTP
COL,DDD,039,500,TTP
COL,DDD,039,600,
COL,DDD,041,400,TTP
COL,DDD,041,500,TTP
COL,DDD,041,600,TB
COL,DDD,043,100,MWA
COL,DDD,043,200,BWA
COL,DDD,043,300,TTP
COL,DDD,043,400,TTP
COL,DDD,043,500,TTP
COL,DDD,043,600,TTP
COL,DDD,044,100,BWA
COL,DDD,044,200,TTP
COL,DDD,044,300,TTP
COL,DDD,044,400,TTP
COL,DDD,044,500,TTP
COL,DDD,044,600,TTP
COL,DDD,045,100,MWA
COL,DDD,045,200,TTP
COL,DDD,045,300,TTP
COL,DDD,045,400,MWA
COL,DDD,045,500,TB
COL,DDD,045,600,TTP
COL,DDD,046,100,TTP
COL,DDD,046,200,DEO
COL,DDD,046,300,MWA
COL,DDD,046,400,DEO
COL,DDD,046,500,TTP
COL,DDD,046,600,TTP
COL,DDD,047,100,TTP
COL,DDD,047,200,DEO
COL,DDD,047,300,BSO
COL,DDD,047,400,TTP
COL,DDD,047,500,TB
COL,DDD,047,600,DEO
COL,DDD,048,100,TTP
COL,DDD,048,200,BSO
COL,DDD,048,300,TTP
COL,DDD,048,400,TTP
COL,DDD,048,500,TTP
COL,DDD,048,600,TTP
COL,DDD,049,100,TTP
COL,DDD,049,200,
COL,DDD,049,300,TTP
COL,DDD,049,400,
COL,DDD,049,500,BWA
COL,DDD,049,600,BWA
COL,DDD,050,100,TTP
COL,DDD,050,200,TTP
COL,DDD,050,300,MWA
COL,DDD,050,400,TTP
COL,DDD,050,500,TTP
COL,DDD,050,600,TTP
COL,DDD,051,100,TTP
COL,DDD,051,200,TTP
COL,DDD,051,300,TTP
COL,DDD,051,400,TTP
COL,DDD,051,500,DEO
COL,DDD,051,600,TTP
COL,DDD,052,100,TTP
COL,DDD,052,200,TTP
COL,DDD,052,300,TB
COL,DDD,052,400,TB
COL,DDD,052,500,DEO
COL,DDD,052,600,TTP
COL,DDD,053,100,TTP
COL,DDD,053,200,BSO
COL,DDD,053,300,TTP
COL,DDD,053,400,TTP
COL,DDD,053,500,DEO
COL,DDD,053,600,BSO
COL,DDD,054,100,TTP
COL,DDD,054,200,DEO
COL,DDD,054,300,TTP
COL,DDD,054,400,TTP
COL,DDD,054,500,MWA
COL,DDD,054,600,TTP
COL,DDD,055,100,TTP
COL,DDD,055,200,TB
COL,DDD,055,300,TTP
COL,DDD,055,400,TTP
COL,DDD,055,500,BSO
COL,DDD,055,600,TTP
COL,DDD,056,100,LHW
COL,DDD,056,200,TTP
COL,DDD,056,300,TB
COL,DDD,056,400,TTP
COL,DDD,056,500,
COL,DDD,056,600,BSO
COL,DDD,057,100,
COL,DDD,057,200,INT
COL,DDD,057,300,TTP
COL,DDD,057,400,TB
COL,DDD,057,500,TB
COL,DDD,057,600,TTP
COL,DDD,058,100,TTP
COL,DDD,058,200,BSO
COL,DDD,058,300,BSO
COL,DDD,058,400,TTP
COL,DDD,058,500,TTP
COL,DDD,058,600,TTP
COL,DDD,059,100,TB
COL,DDD,059,200,MWA
COL,DDD,059,300,TTP
COL,DDD,059,400,TB
COL,DDD,059,500,TTP
COL,DDD,059,600,TTP
COL,DDD,060,100,TTP
COL,DDD,060,200,TTP
COL,DDD,060,300,TTP
COL,DDD,060,400,DEO
COL,DDD,060,500,TTP
COL,DDD,060,600,TTP
COL,DDD,061,100,TB
COL,DDD,061,200,TTP
COL,DDD,061,300,TB
COL,DDD,061,400,TTP
COL,DDD,061,500,TTP
COL,DDD,061,600,
COL,DDD,062,100,TTP
COL,DDD,062,200,TTP
COL,DDD,062,300,TTP
COL,DDD,062,400,TTP
COL,DDD,062,500,TB
COL,DDD,062,600,TTP
COL,DDD,063,100,DEO
COL,DDD,063,200,
COL,DDD,063,300,TTP
COL,DDD,063,400,TB
COL,DDD,063,500,TTP
COL,DDD,063,600,TTP
COL,DDD,065,100,MWA
COL,DDD,065,200,TTP
COL,DDD,065,300,TTP
COL,DDD,065,400,TTP
COL,DDD,065,500,DEO
COL,DDD,065,600,BSO
COL,DDD,067,100,DEO
COL,DDD,067,200,TTP
COL,DDD,067,300,
COL,DDD,067,400,TB
COL,DDD,067,500,DEO
COL,DDD,067,600,DEO
COL,DDD,068,100,TB
COL,DDD,068,200,TB
COL,DDD,068,300,
COL,DDD,068,400,
COL,DDD,068,500,TB
COL,DDD,068,600,TTP
COL,DDD,069,100,TTP
COL,DDD,069,200,DEO
COL,DDD,069,300,TTP
COL,DDD,069,400,DEO
COL,DDD,069,500,TTP
COL,DDD,069,600,MWA
COL,DDD,070,100,TTP
COL,DDD,070,200,
COL,DDD,070,300,BWA
COL,DDD,070,400,TTP
COL,DDD,070,500,
COL,DDD,070,600,MWA
COL,DDD,071,100,TB
COL,DDD,071,200,TTP
COL,DDD,071,300,MWA
COL,DDD,071,400,TB
COL,DDD,071,500,TTP
COL,DDD,071,600,TTP
COL,DDD,072,100,
COL,DDD,072,200,MWA
COL,DDD,072,300,
COL,DDD,072,400,TB
COL,DDD,072,500,TTP
COL,DDD,072,600,TTP
COL,DDD,073,100,TTP
COL,DDD,073,200,TTP
COL,DDD,073,300,MWA
COL,DDD,073,400,TB
COL,DDD,073,500,TB
COL,DDD,073,600,TB
COL,DDD,074,100,DEO
COL,DDD,074,200,TTP
COL,DDD,074,300,TB
COL,DDD,074,400,TTP
COL,DDD,074,500,TB
COL,DDD,074,600,DEO
COL,DDD,075,100,TTP
COL,DDD,075,200,TB
COL,DDD,075,300,001
COL,DDD,075,400,TB
COL,DDD,075,500,DEO
COL,DDD,075,600,TTP
COL,DDD,076,100,TTP
COL,DDD,076,200,TB
COL,DDD,076,300,TTP
COL,DDD,076,400,
COL,DDD,076,500,TB
COL,DDD,076,600,TTP
COL,DDD,077,100,TTP
COL,DDD,077,200,001
COL,DDD,077,300,BSO
COL,DDD,077,400,TTP
COL,DDD,077,500,TTP
COL,DDD,077,600,BSO
COL,DDD,078,100,TTP
COL,DDD,078,200,001
COL,DDD,078,300,TB
COL,DDD,078,400,TTP
COL,DDD,078,500,TTP
COL,DDD,078,600,
COL,DDD,079,100,TB
COL,DDD,079,200,TTP
COL,DDD,079,300,TTP
COL,DDD,079,400,TTP
COL,DDD,079,500,TTP
COL,DDD,079,600,TTP
COL,DDD,080,100,001
COL,DDD,080,200,BSO
COL,DDD,080,300,TTP
COL,DDD,080,400,TB
COL,DDD,080,500,TTP
COL,DDD,080,600,001
COL,DDD,081,100,DEO
COL,DDD,081,200,MWA
COL,DDD,081,300,TB
COL,DDD,081,400,TTP
COL,DDD,081,500,TTP
COL,DDD,081,600,
COL,DDD,082,100,001
COL,DDD,082,200,DEO
